player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Matthew Stafford,4924,QB,16,DET,775,727,435,0,21,13,4,2,0.0,63.3
Drew Brees,802,QB,16,NO,699,670,422,0,30,12,3,7,0.0,68.3
Tony Romo,1693,QB,16,DAL,693,648,425,0,13,7,3,1,0.0,68.1
Tom Brady,698,QB,16,NE,668,637,401,0,19,8,3,9,0.0,67.1
Andrew Luck,7007,QB,16,IND,703,627,339,0,14,14,8,14,0.0,58.8
Matt Ryan,4317,QB,16,ATL,663,615,422,0,14,6,0,3,0.0,71.3
Peyton Manning,327,QB,16,DEN,609,583,400,0,11,6,3,3,0.0,71.4
Carson Palmer,1317,QB,15,OAK,595,565,345,0,7,12,4,7,0.0,64.5
Josh Freeman,4940,QB,16,TB,603,558,306,0,20,17,2,11,0.0,60.2
Aaron Rodgers,2241,QB,16,GB,639,552,371,0,20,5,3,5,0.0,71.5
Sam Bradford,5526,QB,16,STR,605,551,328,0,16,10,7,14,0.0,65.1
Matt Schaub,1811,QB,16,HST,573,544,350,0,23,10,0,4,0.0,69.0
Eli Manning,1722,QB,16,NYG,564,536,321,0,14,10,0,7,0.0,63.6
Joe Flacco,4332,QB,16,BLT,571,531,317,0,12,7,0,12,0.0,63.4
Andy Dalton,6187,QB,16,CIN,593,528,329,0,12,15,3,2,0.0,66.3
Philip Rivers,1725,QB,16,SD,587,527,338,0,42,4,2,3,0.0,71.0
Brandon Weeden,7028,QB,15,CLV,559,517,297,0,24,21,1,8,0.0,64.1
Ryan Fitzpatrick,2467,QB,16,BUF,566,505,306,0,8,8,2,4,0.0,63.4
Cam Newton,6153,QB,16,CAR,555,485,280,0,18,11,2,13,0.0,63.5
Ryan Tannehill,7014,QB,16,MIA,532,484,282,0,20,13,2,8,0.0,63.9
Christian Ponder,6164,QB,16,MIN,555,483,300,0,20,6,0,5,0.0,66.4
Mark Sanchez,4928,QB,15,NYJ,496,453,246,0,7,14,2,8,0.0,58.3
Ben Roethlisberger,1732,QB,13,PIT,491,449,284,0,14,13,6,7,0.0,69.4
Jay Cutler,2956,QB,15,CHI,496,434,255,0,5,12,0,4,0.0,61.7
Russell Wilson,7077,QB,16,SEA,476,393,252,0,27,7,0,1,0.0,70.4
Robert Griffin III,7008,QB,15,WAS,466,392,257,0,11,6,2,6,0.0,70.0
Michael Vick,773,QB,10,PHI,418,351,204,0,18,8,2,7,0.0,64.6
Jake Locker,6160,QB,11,TEN,370,314,177,0,8,11,0,5,0.0,61.0
Chad Henne,4371,QB,10,JAX,348,308,166,0,5,10,3,7,0.0,58.7
Blaine Gabbert,6162,QB,10,JAX,309,278,162,0,4,3,0,3,0.0,60.4
Matt Cassel,2447,QB,9,KC,312,277,161,0,10,6,7,6,0.0,64.9
Nick Foles,7089,QB,7,PHI,292,265,161,0,17,4,2,4,0.0,67.6
Matt Hasselbeck,408,QB,8,TEN,241,221,138,0,7,4,0,0,0.0,65.7
Colin Kaepernick,6188,QB,11,SF,258,218,136,0,13,0,0,1,0.0,66.7
Alex Smith,2218,QB,10,SF,256,218,153,0,9,4,0,2,0.0,75.4
John Skelton,5678,QB,7,ARZ,218,201,109,0,4,4,1,5,0.0,58.3
Brady Quinn,3638,QB,10,KC,230,197,112,0,12,3,0,2,0.0,62.2
Kevin Kolb,3652,QB,6,ARZ,217,183,109,0,7,4,0,1,0.0,63.7
Ryan Lindley,7174,QB,6,ARZ,184,171,89,0,3,7,0,2,0.0,56.0
Charlie Batch,367,QB,2,PIT,73,70,45,0,1,2,0,1,0.0,68.2
Brian Hoyer,5277,QB,2,ARZ,58,53,30,0,1,0,0,0,0.0,57.7
Byron Leftwich,1323,QB,2,PIT,57,53,25,0,3,0,0,1,0.0,51.0
Jason Campbell,2242,QB,4,CHI,61,51,32,0,2,0,0,0,0.0,65.3
Kirk Cousins,7102,QB,3,WAS,53,48,33,0,1,0,0,1,0.0,71.7
Matt Leinart,2955,QB,2,OAK,34,33,16,0,1,1,0,1,0.0,53.3
Thaddeus Lewis,5817,QB,1,CLV,36,32,22,0,0,0,0,0,0.0,68.8
Greg McElroy,6360,QB,2,NYJ,48,31,19,0,2,0,0,0,0.0,65.5
Terrelle Pryor,6944,QB,3,OAK,36,30,14,0,2,0,0,0,0.0,50.0
Tyrod Taylor,6332,QB,3,BLT,37,29,17,0,2,0,0,0,0.0,63.0
Matt Moore,4018,QB,2,MIA,22,19,11,0,1,1,0,0,0.0,64.7
Colt McCoy,5609,QB,1,CLV,22,17,9,0,0,0,0,1,0.0,56.3
Shaun Hill,1255,QB,1,DET,13,13,10,0,0,0,1,0,0.0,83.3
Bruce Gradkowski,3139,QB,1,CIN,11,11,5,0,1,0,0,0,0.0,50.0
T.J. Yates,6304,QB,3,HST,11,10,4,0,0,1,0,0,0.0,44.4
Kyle Orton,2323,QB,1,DAL,10,10,9,0,0,0,0,0,0.0,90.0
Matt Flynn,4523,QB,1,SEA,9,9,5,0,0,0,0,0,0.0,55.6
Dan Orlovsky,2362,QB,1,TB,7,7,4,0,1,0,0,0,0.0,66.7
Tim Tebow,5550,QB,5,NYJ,8,6,4,0,1,0,0,0,0.0,80.0
Rusty Smith,5699,QB,1,TEN,5,5,3,0,0,0,0,0,0.0,60.0
Tyler Thigpen,3833,QB,1,BUF,5,5,3,0,1,0,0,0,0.0,75.0
Brock Osweiler,7059,QB,1,DEN,4,4,2,0,0,0,0,0,0.0,50.0
Graham Harrell,5519,QB,2,GB,4,4,2,0,0,0,0,0,0.0,50.0
Ryan Mallett,6226,QB,2,NE,4,4,1,0,0,0,0,0,0.0,25.0
Derek Anderson,2430,QB,2,CAR,4,4,4,0,0,0,0,0,0.0,100.0
Kellen Clemens,2994,QB,2,STR,4,3,1,0,0,1,0,0,0.0,50.0
David Carr,1009,QB,2,NYG,4,3,2,0,0,0,0,0,0.0,66.7
Trent Edwards,3708,QB,1,PHI,2,2,2,0,0,0,0,0,0.0,100.0
Josh Morgan,4488,WR,1,WAS,1,1,0,0,0,0,0,0,0.0,0.0
Chase Daniel,5214,QB,1,NO,1,1,1,0,0,0,0,0,0.0,100.0
Danario Alexander,6106,WR,1,SD,1,1,0,0,0,0,0,0,0.0,0.0
Armanti Edwards,5613,WR,1,CAR,1,1,0,0,0,0,0,0,0.0,0.0
Tim Masthay,5510,P,1,GB,1,1,0,0,0,0,0,0,0.0,0.0
Jeremy Kerley,6305,WR,1,NYJ,1,1,1,0,0,0,0,0,0.0,100.0
Mohamed Sanu,7084,WR,1,CIN,1,1,1,0,0,0,0,0,0.0,100.0
Peyton Hillis,4541,HB,1,KC,1,1,0,0,0,0,0,0,0.0,0.0
T.Y. Hilton,7092,WR,1,IND,1,1,0,0,0,1,0,0,0.0,
Brad Smith,3048,WR,1,BUF,1,1,0,0,0,0,0,0,0.0,0.0
