team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
DEN,695,13,25,103,141,88.9
CIN,641,19,15,101,135,88.0
DET,665,10,32,108,150,88.0
GB,645,28,20,94,142,86.8
BUF,604,12,29,107,148,86.8
WAS,689,19,27,127,173,86.1
NO,698,26,29,115,170,86.0
DAL,630,20,13,129,162,85.6
MIN,627,20,32,116,168,85.0
CAR,551,22,15,116,153,84.1
KC,634,27,29,120,176,84.0
CLV,750,27,49,137,213,84.0
SF,503,22,15,102,139,84.0
OAK,599,18,16,141,175,83.9
NYJ,560,23,33,106,162,83.5
STR,556,21,34,110,165,83.3
PHI,586,23,28,125,176,83.0
NE,667,34,34,126,194,82.9
SD,589,17,31,136,184,82.9
BLT,683,22,38,152,211,82.9
SEA,513,27,21,101,149,82.8
JAX,658,30,44,124,198,82.7
PIT,635,32,29,130,191,82.4
MIA,663,41,39,114,194,82.3
HST,681,18,50,155,223,82.3
TB,576,24,31,127,182,82.1
CHI,626,12,42,159,213,82.0
TEN,608,23,39,136,198,81.8
IND,657,23,62,135,220,81.5
ATL,709,32,42,190,264,79.1
NYG,613,32,33,171,236,78.1
ARZ,619,33,48,161,242,77.8
